AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
BEISEL JC;1;63;0;0;0;beisel jc;0,00000000000000e+00;5,24301368426572e-05;2,18505113220803e-04;c01
BEISEL JN;1;44;0;0;6;beisel jn;8,17857544471808e+02;5,94707106749926e-05;2,09490029809252e-04;c01
BEJANNIN S;1;6;1;6;1;bejannin s;0,00000000000000e+00;7,63184003663283e-05;1,54387873239727e-04;NA
BEJEAN M;1;1;1;1;2;bejean m;0,00000000000000e+00;NA;3,41273633200992e-05;NA
BEKER B;1;107;0;0;1;beker b;0,00000000000000e+00;6,14288346950058e-05;2,24656193951419e-04;c04
BEKS J;1;72;0;0;1;beks j;0,00000000000000e+00;1,42857142857143e-01;2,21908263124243e-04;NA
BELAVOINE F;1;0;0;0;0;belavoine f;0,00000000000000e+00;1,66666666666667e-01;1,93587967370509e-04;NA
BELLAICHE G;1;20;1;20;3;bellaiche g;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BELLAN G;1;17;0;0;7;bellan g;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BELLANSANTINI D;1;17;0;0;1;bellansantini d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
BELLEC V;1;22;0;0;1;bellec v;0,00000000000000e+00;5,45018530630041e-05;5,57614491605619e-05;NA
BELLIARD J;1;6;0;0;7;belliard j;0,00000000000000e+00;6,80225834977212e-05;1,40825940559116e-04;c04
BELLIDO JM;1;27;0;0;2;bellido jm;0,00000000000000e+00;1,66666666666667e-01;2,27515755466200e-04;NA
BELLUCCI LG;1;8;0;0;0;bellucci lg;0,00000000000000e+00;7,29873731844391e-05;1,07146851783564e-04;NA
BEN BEGACEM M;1;13;0;0;0;ben begacem m;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BENABDELLOUAHED M;1;10;0;0;1;benabdellouahed m;0,00000000000000e+00;5,42534722222222e-05;1,29849086312312e-04;NA
BENACCHIO V;1;20;1;20;1;benacchio v;0,00000000000000e+00;7,32761779145600e-05;9,55817974354792e-05;c01
BENEFICE A;1;0;0;0;0;benefice a;0,00000000000000e+00;4,64576074332172e-05;1,27770103863014e-04;c11
BENEFICE G;1;0;1;0;0;benefice g;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BENOIT R;1;27;1;27;1;benoit r;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
BENOTHMAN D;1;3;0;0;1;benothman d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BERCEAUX A;1;7;0;0;0;berceaux a;0,00000000000000e+00;5,92346878331951e-05;1,11894624864755e-04;NA
BERETTONI S;1;5;1;5;0;berettoni s;0,00000000000000e+00;5,20724848989794e-05;1,21699777244714e-04;c01
BERGAMO P;1;0;0;0;0;bergamo p;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BERGER GW;1;70;0;0;1;berger gw;0,00000000000000e+00;1,25000000000000e-01;1,67235212789356e-04;NA
BERGKAMP G;1;0;0;0;1;bergkamp g;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BERLY A;1;27;0;0;7;berly a;0,00000000000000e+00;6,45577792123951e-05;1,17202744579675e-04;c01
BERNABEI M;1;12;1;12;1;bernabei m;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
BERNAL D;1;37;0;0;0;bernal d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BERNARD C;1;107;0;0;8;bernard c;0,00000000000000e+00;5,74415532195991e-05;1,70244378835069e-04;c03
BERNARDO P;1;78;1;78;2;bernardo p;0,00000000000000e+00;7,69230769230769e-02;2,27515755466135e-04;NA
BERNARDON V;1;89;0;0;0;bernardon v;0,00000000000000e+00;6,23014142421033e-05;1,44810630949641e-04;c09
BERNATCHEZ L;1;96;0;0;13;bernatchez l;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BERNE F;1;1;0;0;0;berne f;0,00000000000000e+00;6,61857171222450e-05;1,28025694484440e-04;c02
BERNER D;1;4;0;0;1;berner d;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
BERNET M;1;43;1;43;2;bernet m;0,00000000000000e+00;1,42857142857143e-01;2,21908263124243e-04;NA
BERNHARD L;1;14;0;0;0;bernhard l;0,00000000000000e+00;4,61126994374251e-05;2,07790477484868e-04;c10
BERRAHOU A;1;63;0;0;4;berrahou a;0,00000000000000e+00;6,54236179260713e-05;1,15645044527541e-04;c01
BERRANGER M;1;1;0;0;1;berranger m;0,00000000000000e+00;1,66666666666667e-01;2,27515755466200e-04;NA
BERTIER C;1;6;0;0;1;bertier c;0,00000000000000e+00;7,14285714285714e-02;2,27614281628687e-04;NA
BERTRAND O;1;12;0;0;3;bertrand o;1,82256755331244e+04;7,07313622860376e-05;2,65432873804600e-04;NA
BERTRAND-KRAJEWSKI JL;1;18;0;0;0;bertrand-krajewski jl;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BESNARD AL;1;0;0;0;0;besnard al;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BESSUEILLE-BARBIER F;1;6;0;0;0;bessueille-barbier f;0,00000000000000e+00;6,91132766604465e-05;8,42158020200127e-05;c08
BETHOUX JP;1;126;1;126;50;bethoux jp;0,00000000000000e+00;5,80551523947750e-05;1,29076840312951e-04;c02
BEUCHAT S;1;0;0;0;0;beuchat s;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
BEVACQUA D;1;56;0;0;1;bevacqua d;0,00000000000000e+00;5,45286002508316e-05;2,05597603794688e-04;NA
BIANCHI TS;1;19;0;0;28;bianchi ts;3,25270000000000e+04;7,58552681483729e-05;3,40445390246706e-04;NA
BIANCHINI G;1;6;0;0;2;bianchini g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
BIANPIED C;1;6;0;0;0;bianpied c;0,00000000000000e+00;5,89240469035413e-05;1,89923787153985e-04;NA
BICHON E;1;27;0;0;1;bichon e;0,00000000000000e+00;7,33944954128440e-05;1,15197479223214e-04;c07
BICHON S;1;11;0;0;0;bichon s;2,18764217038588e+04;8,20546483958316e-05;4,78350515915542e-04;NA
BICKET A;1;6;0;0;1;bicket a;0,00000000000000e+00;5,81091289441571e-05;2,53147636816445e-04;c05
BICOUT DJ;1;39;0;0;0;bicout dj;0,00000000000000e+00;2,00000000000000e-01;2,27515755466221e-04;NA
BIDOGLIO G;1;30;0;0;0;bidoglio g;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
BIEBER J;1;1;1;1;0;bieber j;0,00000000000000e+00;NA;3,41273633200992e-05;NA
BIGGS P;1;42;0;0;0;biggs p;0,00000000000000e+00;7,14285714285714e-02;2,47262590237669e-04;NA
BIGOT M;1;15;0;0;1;bigot m;0,00000000000000e+00;5,81327752586908e-05;1,46095435959396e-04;NA
BILLARD P;1;3;0;0;0;billard p;0,00000000000000e+00;4,61616581267599e-05;2,18040394503131e-04;c10
BINDER D;1;11;0;0;3;binder d;0,00000000000000e+00;6,64451827242525e-05;1,84916507325237e-04;c07
BINQUET C;1;26;0;0;0;binquet c;0,00000000000000e+00;1,42857142857143e-01;2,27515755466229e-04;NA
BISCAN J;1;14;1;14;4;biscan j;0,00000000000000e+00;6,19962802231866e-05;1,50028699101331e-04;NA
BISCAYE P;1;175;0;0;13;biscaye p;0,00000000000000e+00;6,70645831936155e-05;1,21564310067869e-04;c02
BISHOP A;1;5;0;0;0;bishop a;0,00000000000000e+00;4,95810402102236e-05;1,49557973408118e-04;c05
BITTEBIERE AK;1;0;0;0;0;bittebiere ak;0,00000000000000e+00;5,04642712959225e-05;1,63390364762113e-04;c01
BIZEC B;1;56;0;0;0;bizec b;0,00000000000000e+00;7,19165767709457e-05;1,87186131793797e-04;c07
BJORKLUND M;1;13;0;0;1;bjorklund m;0,00000000000000e+00;5,12715340442986e-05;1,67574043610105e-04;c09
BLAIN S;1;1;0;0;0;blain s;0,00000000000000e+00;5,61860883245308e-05;9,47048290858097e-05;c03
BLAMART D;1;7;0;0;3;blamart d;0,00000000000000e+00;6,72178530617732e-05;1,42203474019584e-04;c04
BLAMART M;1;6;0;0;0;blamart m;1,22295886552388e+01;6,72585418348130e-05;1,73556238843042e-04;c04
BLANC PE;1;9;0;0;0;blanc pe;0,00000000000000e+00;7,48951467944877e-05;1,99094804646390e-04;c03
BLANCHER B;1;1;0;0;0;blancher b;0,00000000000000e+00;1,11111111111111e-01;2,02400379862881e-04;NA
BLANFUNE A;1;17;0;0;2;blanfune a;0,00000000000000e+00;6,96718456071901e-05;1,69492690834132e-04;c02
BLANQUART B;1;25;0;0;0;blanquart b;0,00000000000000e+00;7,18184429761563e-05;1,50035903812267e-04;c08
BLARQUEZ AA;1;8;0;0;0;blarquez aa;0,00000000000000e+00;5,35532587157929e-05;2,18888519070445e-04;NA
BLASI C;1;30;0;0;0;blasi c;0,00000000000000e+00;6,80364675466050e-05;1,45133613980473e-04;c07
BLATTNER L;1;4;1;4;1;blattner l;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
BOBIN M;1;7;0;0;0;bobin m;0,00000000000000e+00;5,76801061313953e-05;1,66387797273019e-04;c09
BOCQUENET Y;1;4;0;0;0;bocquenet y;0,00000000000000e+00;6,46830530401035e-05;2,08710932936717e-04;NA
BODERGAT AM;1;30;0;0;6;bodergat am;0,00000000000000e+00;7,47999102401077e-05;8,08509301763225e-05;c01
BODIGUEL X;1;107;0;0;4;bodiguel x;0,00000000000000e+00;6,14288346950058e-05;2,24656193951381e-04;c04
BODIOU JY;1;100;0;0;1;bodiou jy;0,00000000000000e+00;6,80966973101805e-05;9,41914891069566e-05;c06
BODRATO M;1;10;0;0;0;bodrato m;0,00000000000000e+00;4,81116189559779e-05;1,87567581737960e-04;NA
BOE J;1;27;0;0;11;boe j;0,00000000000000e+00;5,49178977428744e-05;1,28090567795466e-04;NA
BOETTLE M;1;1;0;0;0;boettle m;0,00000000000000e+00;5,00000000000000e-02;2,33444373134618e-04;NA
BOICHE A;1;8;1;8;1;boiche a;0,00000000000000e+00;5,62050359712230e-05;1,58018933295346e-04;c01
BOILLAT J;1;2;0;0;6;boillat j;0,00000000000000e+00;5,15649976795751e-05;1,09254221336887e-04;NA
BOIREAU A;1;289;0;0;0;boireau a;0,00000000000000e+00;6,71907545521736e-05;9,68558221115765e-05;NA
BOISSON N;1;0;0;0;0;boisson n;0,00000000000000e+00;5,95273528186202e-05;2,14592971887348e-04;c08
BOLCH T;1;10;0;0;3;bolch t;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BOLEVE A;1;63;1;63;1;boleve a;0,00000000000000e+00;5,56080742923873e-05;1,81693077306594e-04;c05
BOLLACHE L;1;63;1;63;4;bollache l;0,00000000000000e+00;5,24301368426572e-05;2,18505113220760e-04;c01
BOLLAERT EFR;1;2;1;2;1;bollaert efr;0,00000000000000e+00;5,29212531752752e-05;1,40880111039280e-04;c08
BOMBLED B;1;0;0;0;0;bombled b;0,00000000000000e+00;6,58241179568194e-05;2,02885273067640e-04;c06
BOMPART P;1;6;1;6;5;bompart p;0,00000000000000e+00;5,04133897963299e-05;1,46039571646015e-04;c11
BONACCORSI J;1;10;0;0;1;bonaccorsi j;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BONNINEAU C;1;3;0;0;0;bonnineau c;0,00000000000000e+00;4,61616581267599e-05;2,18040394503089e-04;c10
BONTADI J;1;12;0;0;0;bontadi j;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
BONTE S;1;22;0;0;1;bonte s;0,00000000000000e+00;6,65513110608279e-05;1,80239952218773e-04;c07
BONTOUX JG;1;4;0;0;0;bontoux jg;0,00000000000000e+00;4,37502734392090e-05;1,84326859842902e-04;c05
BONVIN F;1;3;0;0;7;bonvin f;0,00000000000000e+00;4,83045116413873e-05;1,79218593859786e-04;NA
BONY S;1;27;0;0;0;bony s;0,00000000000000e+00;7,20461095100865e-05;2,28234015303711e-04;c09
BOONE MN;1;0;0;0;0;boone mn;0,00000000000000e+00;6,04083605170956e-05;2,15713115853661e-04;c05
BORDERIE Q;1;8;0;0;2;borderie q;0,00000000000000e+00;5,16769159216578e-05;2,03202954299531e-04;NA
BOREL JL;1;17;0;0;2;borel jl;0,00000000000000e+00;6,32991517913660e-05;8,76434017480429e-05;c01
BOROVICS A;1;57;0;0;0;borovics a;0,00000000000000e+00;4,65896384644055e-05;1,98730024135032e-04;NA
BORSCHNECK D;1;16;0;0;0;borschneck d;0,00000000000000e+00;6,58327847267939e-05;2,11885312461138e-04;c08
BOSCARELLO L;1;15;1;15;1;boscarello l;0,00000000000000e+00;4,59136822773186e-05;1,56314767834477e-04;c01
BOSSY C;1;3;0;0;0;bossy c;0,00000000000000e+00;5,00000000000000e-02;1,93871408971923e-04;NA
BOTTA F;1;83;0;0;2;botta f;0,00000000000000e+00;6,62514906585398e-05;1,47010617780636e-04;c07
BOTTERO JY;1;77;0;0;1;bottero jy;0,00000000000000e+00;6,73990698928355e-05;1,40235881218737e-04;NA
BOTTIN L;1;17;0;0;0;bottin l;0,00000000000000e+00;6,96718456071901e-05;1,69492690834094e-04;c02
BOUBY C;1;2;0;0;0;bouby c;0,00000000000000e+00;5,35331905781585e-05;1,53103767314205e-04;NA
BOUCHARD P;1;10;1;10;5;bouchard p;0,00000000000000e+00;5,07872016251905e-05;1,32347259851699e-04;c09
BOUCHEREAU AJ;1;4;0;0;0;bouchereau aj;0,00000000000000e+00;5,26925914216461e-05;1,31215903009206e-04;NA
BOUCHET P;1;38;0;0;1;bouchet p;0,00000000000000e+00;5,23012552301255e-05;1,53820829614561e-04;c01
BOUCHONNET S;1;6;0;0;0;bouchonnet s;0,00000000000000e+00;9,09090909090909e-02;2,27515755466146e-04;NA
BOUCHOUCHA M;1;25;0;0;0;bouchoucha m;0,00000000000000e+00;7,11642470822659e-05;1,58576475574114e-04;c04
BOUDET L;1;30;1;30;6;boudet l;0,00000000000000e+00;7,38497895280998e-05;7,20812038054536e-05;c05
BOUDJELLAL B;1;70;0;0;0;boudjellal b;0,00000000000000e+00;7,35510444248308e-05;9,51618934633214e-05;NA
BOUDONG C;1;0;0;0;0;boudong c;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BOUFFARD V;1;27;0;0;0;bouffard v;0,00000000000000e+00;5,92487261523877e-05;2,23534544943490e-04;NA
BOUILLON MC;1;2;0;0;0;bouillon mc;0,00000000000000e+00;6,61944793804197e-05;1,33184671353169e-04;c11
BOUINOL J;1;0;1;0;0;bouinol j;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BOULEAU G;1;19;0;0;3;bouleau g;0,00000000000000e+00;2,50000000000000e-01;2,23809813744908e-04;NA
BOULENGER C;1;0;0;0;1;boulenger c;0,00000000000000e+00;4,69417452940900e-05;1,24593898855575e-04;NA
BOULET B;1;1;0;0;0;boulet b;1,15911334558775e+03;6,92712662787476e-05;3,14944714305526e-04;c05
BOULET C;1;3;0;0;0;boulet c;0,00000000000000e+00;6,67958052234320e-05;1,09815512588138e-04;c05
BOULETREAU S;1;18;1;18;1;bouletreau s;0,00000000000000e+00;4,21994345275773e-05;8,39905325750128e-05;c09
BOULLIER J;1;0;1;0;0;boullier j;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BOURAOUI F;1;50;0;0;1;bouraoui f;0,00000000000000e+00;5,35217298223079e-05;1,28070154664607e-04;NA
BOURCIER M;1;106;0;0;2;bourcier m;0,00000000000000e+00;6,79532481652623e-05;1,35289555673816e-04;c05
BOURGEOIS G;1;8;0;0;0;bourgeois g;0,00000000000000e+00;6,88942473303479e-05;9,91127505423898e-05;c06
BOURGUIGNON JC;1;4;0;0;0;bourguignon jc;0,00000000000000e+00;6,35808748728382e-05;9,50598735556754e-05;NA
BOURNARD M;1;210;0;0;0;bournard m;0,00000000000000e+00;6,65291730423791e-05;8,62532649301138e-05;c01
BOURQUI M;1;4;1;4;0;bourqui m;0,00000000000000e+00;5,26315789473684e-02;1,45622202175088e-04;NA
BOURRIN G;1;4;0;0;0;bourrin g;0,00000000000000e+00;6,61900979613450e-05;6,33472056651774e-05;c06
BOURRIN P;1;36;0;0;0;bourrin p;0,00000000000000e+00;6,54321795459007e-05;7,87243327690309e-05;c02
BOURRIN PR;1;19;0;0;0;bourrin pr;0,00000000000000e+00;6,78150006781500e-05;1,18765330929977e-04;c02
BOURRIN R;1;43;0;0;0;bourrin r;0,00000000000000e+00;7,01114772488256e-05;1,75624914630570e-04;c02
BOUT-ROUMAZEILLE V;1;63;0;0;0;bout-roumazeille v;0,00000000000000e+00;7,19579765416997e-05;1,59306609181656e-04;c07
BOUVARD E;1;2;0;0;3;bouvard e;0,00000000000000e+00;7,01606679295587e-05;2,69146768105930e-04;c07
BOUVARD-MOR E;1;3;0;0;0;bouvard-mor e;0,00000000000000e+00;6,89560060681285e-05;1,26308052008246e-04;c07
BOUVET N;1;0;0;0;1;bouvet n;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BOUWMAN AF;1;87;0;0;1;bouwman af;0,00000000000000e+00;6,54364611961785e-05;1,19307576521574e-04;c02
BOUZELBOUDJEN M;1;0;0;0;1;bouzelboudjen m;0,00000000000000e+00;4,07033539563660e-05;1,16163163607811e-04;c10
BOYER C;1;51;0;0;7;boyer c;0,00000000000000e+00;7,35726898175397e-05;1,09354067834368e-04;c05
BOYER J;1;45;1;45;10;boyer j;0,00000000000000e+00;4,62192641893141e-05;2,03697955650327e-04;NA
BOYER R;1;11;0;0;0;boyer r;0,00000000000000e+00;7,22438953908395e-05;1,06937080641058e-04;c05
BRAND T;1;37;0;0;0;brand t;0,00000000000000e+00;6,76956404007582e-05;1,89861432955244e-04;c02
BRANDILY C;1;18;0;0;0;brandily c;0,00000000000000e+00;6,54022236756050e-05;1,33601891429975e-04;c06
BRANDOLINI F;1;14;1;14;2;brandolini f;0,00000000000000e+00;5,26315789473684e-02;1,60762148730126e-04;NA
BRANDSTATTER A;1;63;0;0;0;brandstatter a;0,00000000000000e+00;5,96765530822940e-05;1,93267170904888e-04;c09
BRANKART Y;1;1;0;0;0;brankart y;0,00000000000000e+00;5,71689915389893e-05;1,41446552254279e-04;c03
BRATEK A;1;3;1;3;0;bratek a;0,00000000000000e+00;1,66666666666667e-01;2,27515755466251e-04;NA
BRAUCHLI T;1;1;0;0;0;brauchli t;0,00000000000000e+00;5,21975153982670e-05;1,48889133746501e-04;NA
BRAUD I;1;0;0;0;6;braud i;2,27439810898263e+04;7,72618403770378e-05;2,45000051253009e-04;c11
BRAVARD F;1;25;0;0;0;bravard f;0,00000000000000e+00;6,02191978802842e-05;1,67222560630119e-04;c01
BRAZIER RE;1;114;0;0;0;brazier re;0,00000000000000e+00;1,25000000000000e-01;2,27515755466212e-04;NA
BREIL P;1;30;0;0;1;breil p;1,12680392521000e+04;8,13074233677535e-05;1,91200767873174e-04;NA
BREKENFELD N;1;1;0;0;0;brekenfeld n;0,00000000000000e+00;6,49266329048176e-05;1,73479657242879e-04;c11
BRENDONCK P;1;16;0;0;0;brendonck p;0,00000000000000e+00;6,55780706931602e-05;1,79719322698506e-04;NA
BRESSANELLI S;1;23;0;0;0;bressanelli s;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
BRETAGNOLLE F;1;13;0;0;0;bretagnolle f;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BRIGGS K;1;11;0;0;0;briggs k;0,00000000000000e+00;6,89037414731620e-05;1,66432006633191e-04;c06
BRIGITTE D;1;1;0;0;0;brigitte d;0,00000000000000e+00;4,98132004981320e-05;8,74252056057254e-05;NA
BRINGER N;1;33;0;0;0;bringer n;0,00000000000000e+00;6,06281071904935e-05;2,33037346311549e-04;c11
BRISSET E;1;93;0;0;5;brisset e;0,00000000000000e+00;7,33299112708074e-05;2,49814043737398e-04;c01
BRITTAIN JE;1;25;0;0;18;brittain je;0,00000000000000e+00;5,61167227833895e-05;1,01071505314798e-04;c10
BRITTON K;1;22;0;0;2;britton k;0,00000000000000e+00;4,98678501969780e-05;2,71644417302297e-04;NA
BROECK AV;1;101;0;0;0;broeck av;0,00000000000000e+00;4,10004100041000e-05;2,12885139440074e-04;NA
BROOKS SE;1;5;1;5;1;brooks se;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BROQUET T;1;0;0;0;2;broquet t;0,00000000000000e+00;7,14285714285714e-02;2,27515755466156e-04;NA
BROSSE C;1;38;0;0;0;brosse c;0,00000000000000e+00;7,23955693911533e-05;1,14840089528646e-04;c08
BROTTET D;1;16;0;0;0;brottet d;0,00000000000000e+00;4,43301711144605e-05;1,46871460882177e-04;c02
BROUSSE G;1;0;1;0;3;brousse g;0,00000000000000e+00;5,93049460324991e-05;6,27184075087155e-05;c05
BROWN AG;1;114;1;114;13;brown ag;0,00000000000000e+00;1,25000000000000e-01;2,27515755466172e-04;NA
BROYELLE I;1;12;0;0;0;broyelle i;0,00000000000000e+00;7,15154115711936e-05;1,23088852923692e-04;NA
BRUGAL JP;1;20;0;0;1;brugal jp;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BRUN AM;1;11;0;0;0;brun am;0,00000000000000e+00;6,44039415212211e-05;9,44912368636119e-05;c01
BRUN JJ;1;9;0;0;0;brun jj;0,00000000000000e+00;6,07902735562310e-05;1,72018010192604e-04;c01
BRUNCOTTAN JC;1;38;0;0;2;bruncottan jc;0,00000000000000e+00;5,73197294508770e-05;1,51273816058434e-04;NA
BRUNEEL O;1;0;0;0;0;bruneel o;0,00000000000000e+00;7,14285714285714e-02;1,74546172338287e-04;NA
BRUNEL M;1;0;0;0;0;brunel m;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
BRUNEL P;1;1;0;0;0;brunel p;0,00000000000000e+00;6,50956906652780e-05;1,75625620431141e-04;c06
BRUNET P;1;29;0;0;1;brunet p;0,00000000000000e+00;5,17036347655240e-05;1,10730545915089e-04;NA
BRUNNER P;1;16;0;0;1;brunner p;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BRUNNER PC;1;96;1;96;0;brunner pc;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
BRUNO G;1;2;0;0;0;bruno g;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BRUNSTEIN D;1;14;0;0;0;brunstein d;0,00000000000000e+00;2,00000000000000e-01;2,27515755466221e-04;NA
BRYJA J;1;32;0;0;1;bryja j;0,00000000000000e+00;5,06149719086906e-05;1,80203393368606e-04;c09
BUCHHOLTZ G;1;14;0;0;0;buchholtz g;0,00000000000000e+00;7,21552781585973e-05;2,04977776730875e-04;c06
BUDA S;1;10;0;0;0;buda s;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BUENTGEN U;1;12;0;0;0;buentgen u;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
BUET C;1;26;0;0;0;buet c;0,00000000000000e+00;6,33352333903350e-05;1,68719738406174e-04;NA
BUFFIN-BELANGER L;1;20;0;0;0;buffin-belanger l;0,00000000000000e+00;7,32761779145600e-05;9,55817974354515e-05;c01
BUISSON W;1;1;0;0;0;buisson w;0,00000000000000e+00;6,21040864488883e-05;1,47367185145802e-04;c11
BULTEL E;1;30;0;0;0;bultel e;0,00000000000000e+00;7,06713780918728e-05;1,53469245763055e-04;c11
BUREAU S;1;21;0;0;0;bureau s;0,00000000000000e+00;1,25000000000000e-01;1,67235212789356e-04;NA
BUSCAIL A;1;22;0;0;0;buscail a;0,00000000000000e+00;6,15346747892437e-05;1,75905853957891e-04;c06
BUSCAIL B;1;25;0;0;0;buscail b;0,00000000000000e+00;6,93240901213172e-05;1,43898596404236e-04;c06
BUSCAIL F;1;56;0;0;0;buscail f;0,00000000000000e+00;7,00623554963918e-05;1,25158958544621e-04;c06
BUSCAIL G;1;24;0;0;0;buscail g;0,00000000000000e+00;7,08817692089595e-05;2,11618594296250e-04;c06
BUSCAIL P;1;37;0;0;0;buscail p;0,00000000000000e+00;6,64716830630152e-05;1,69560318610139e-04;c06
BUSSI G;1;20;0;0;2;bussi g;0,00000000000000e+00;6,11060189428659e-05;1,80592501206639e-04;NA
BUZAN E;1;0;0;0;1;buzan e;0,00000000000000e+00;7,14285714285714e-02;2,27515755466131e-04;NA
CADDY JF;1;55;1;55;7;caddy jf;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
CADI A;1;18;0;0;1;cadi a;0,00000000000000e+00;5,27064776261003e-05;2,37392444004475e-04;NA
CADIOU JF;1;1;0;0;0;cadiou jf;0,00000000000000e+00;5,02765208647562e-05;1,22798537665721e-04;c06
CAFFY E;1;5;0;0;0;caffy e;0,00000000000000e+00;6,58154534684744e-05;1,65600223318519e-04;c06
CAFFY I;1;0;0;0;0;caffy i;0,00000000000000e+00;6,58241179568194e-05;2,02885273067603e-04;c06
CAHET G;1;25;0;0;3;cahet g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
CAI WJ;1;189;0;0;17;cai wj;0,00000000000000e+00;6,52103032279100e-05;2,01634717354703e-04;c06
CALAFAT W;1;25;0;0;0;calafat w;0,00000000000000e+00;7,25584095196633e-05;1,29909690869431e-04;c02
CALANCA P;1;11;0;0;2;calanca p;0,00000000000000e+00;5,16608978664049e-05;1,07651111829375e-04;NA
CALMEL B;1;0;1;0;0;calmel b;0,00000000000000e+00;4,50612833453497e-05;1,33541827419518e-04;c11
CALVET C;1;48;0;0;1;calvet c;0,00000000000000e+00;5,26315789473684e-02;1,25068868318033e-04;NA
CAMBON GV;1;4;0;0;0;cambon gv;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
CAMENEN S;1;2;0;0;0;camenen s;0,00000000000000e+00;7,07413695529145e-05;1,22145656631585e-04;c08
CAMPBELL R;1;3;0;0;9;campbell r;2,95877784158105e+02;6,62602703419030e-05;1,91400852772913e-04;c03
CAMPTON P;1;0;0;0;0;campton p;0,00000000000000e+00;5,91540964211772e-05;8,55362471509247e-05;c04
CAMUS H;1;58;0;0;4;camus h;0,00000000000000e+00;5,17170045510964e-05;1,54890258626646e-04;NA
CANDIOTTO A;1;8;0;0;0;candiotto a;0,00000000000000e+00;6,29921259842520e-05;2,45661575161433e-04;c04
CANLER JP;1;38;0;0;0;canler jp;0,00000000000000e+00;7,23955693911533e-05;1,14840089528612e-04;c08
CAPDERREY C;1;26;1;26;5;capderrey c;0,00000000000000e+00;7,22334585379948e-05;1,27526395982022e-04;c01
CAPOCCIONI CP;1;4;0;0;0;capoccioni cp;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
CAPRA M;1;56;0;0;0;capra m;0,00000000000000e+00;7,38007380073801e-05;1,20049601810361e-04;c11
